State,Actual Biden,Actual Trump,d_margin_actual,d_margin_predict,d_bias,Omit,d_bias_with_omit,
Alabama,36.4,62.5,-26.1,-20.0006,6.0994,,6.0994,
Alaska,33.5,62.1,-28.6,-8.454,20.146,,20.146,
Arizona,50.7,47.9,2.8,2.58834,-0.21166,,-0.21166,TRUE
Arkansas,34.5,62.6,-28.1,-22.68126,5.41874,,5.41874,
California,65.3,32.9,32.4,29.94959,-2.45041,,-2.45041,
Colorado,55.5,42,13.5,11.7135,-1.7865,,-1.7865,
Connecticut,57.3,41.2,16.1,24.03479,7.93479,,7.93479,
Delaware,58.8,39.8,19,25.62977,6.62977,,6.62977,
D. C.,93.4,5.2,88.2,85.863657,-2.336343,,-2.336343,
Florida,47.8,51.2,-3.4,2.46464,5.86464,,5.86464,
Georgia,49,49.8,-0.8,0.95224,1.75224,,1.75224,TRUE
Hawaii,63.7,34.3,29.4,36.62319,7.22319,,7.22319,
Idaho,33.1,63.9,-30.8,-21.96806,8.83194,,8.83194,
Illinois,55.1,43,12.1,17.89129,5.79129,,5.79129,
Indiana,40.5,57.6,-17.1,-10.77578,6.32422,,6.32422,
Iowa,45,53.2,-8.2,-1.47068,6.72932,,6.72932,
Kansas,41.2,56.6,-15.4,-13.22257,2.17743,,2.17743,
Kentucky,35.7,62.6,-26.9,-18.00523,8.89477,,8.89477,
Louisiana,39.8,58.5,-18.7,-18.55815,0.14185,,0.14185,
Maine,52.9,44.2,8.7,11.7942,3.0942,,3.0942,
ME-1,60,37.2,22.8,20.98413,-1.81587,,-1.81587,
ME-2,44.5,52.4,-7.9,1.61227,9.51227,,9.51227,
Maryland,62.6,35.6,27,31.35376,4.35376,,4.35376,
Massachusetts,65.7,32.5,33.2,34.82156,1.62156,,1.62156,
Michigan,50.3,48.1,2.2,7.98545,5.78545,,5.78545,
Minnesota,52.6,45.4,7.2,9.07007,1.87007,,1.87007,
Mississippi,39.2,59.4,-20.2,-14.30826,5.89174,,5.89174,
Missouri,41.3,56.9,-15.6,-9.42892,6.17108,,6.17108,
Montana,40.6,56.9,-16.3,-6.35178,9.94822,,9.94822,
Nebraska,39.1,58.8,-19.7,-17.99934,1.70066,,1.70066,
NE-1,40.9,56.9,-16,-12.16931,3.83069,,3.83069,
NE-2,54.6,43.5,11.1,3.23814,-7.86186,,-7.86186,
NE-3,22.4,75.7,-53.3,-47.02915,6.27085,,6.27085,
Nevada,49.3,48.7,0.6,6.11618,5.51618,,5.51618,TRUE
New Hampshire,52.8,45.6,7.2,10.62075,3.42075,,3.42075,
New Jersey,60.7,38.2,22.5,20.30795,-2.19205,,-2.19205,
New Mexico,54.2,43.6,10.6,13.03108,2.43108,,2.43108,
New York,55.7,42.9,12.8,29.10512,16.30512,,16.30512,
North Carolina,48.7,50.1,-1.4,1.76296,3.16296,,3.16296,TRUE
North Dakota,31.9,65.5,-33.6,-21.69657,11.90343,,11.90343,
Ohio,45.2,53.4,-8.2,-0.58826,7.61174,,7.61174,
Oklahoma,32.3,65.4,-33.1,-25.22726,7.87274,,7.87274,
Oregon,57.5,40.2,17.3,19.4293,2.1293,,2.1293,
Pennsylvania,47.9,51,-3.1,4.65192,7.75192,,7.75192,TRUE
Rhode Island,59.4,39.2,20.2,27.26663,7.06663,,7.06663,
South Carolina,43.2,55.3,-12.1,-7.49424,4.60576,,4.60576,
South Dakota,35.6,61.8,-26.2,-16.99097,9.20903,,9.20903,
Tennessee,37.4,60.7,-23.3,-15.70447,7.59553,,7.59553,
Texas,46.3,52.3,-6,-1.5153,4.4847,,4.4847,
Utah,38,58.5,-20.5,-13.75987,6.74013,,6.74013,
Vermont,66.4,30.8,35.6,38.10874,2.50874,,2.50874,
Virginia,54,44.5,9.5,12.48523,2.98523,,2.98523,
Washington,60.3,37.5,22.8,23.76314,0.96314,,0.96314,
West Virginia,29.6,68.7,-39.1,-30.71467,8.38533,,8.38533,
Wisconsin,49.6,48.9,0.7,8.31096,7.61096,,7.61096,
Wyoming,26.7,70.4,-43.7,-34.73102,8.96898,,8.96898,
,,,,,,,,
